side,ref,value,footprint,lcsc,role,pop
R,R13,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
R,R14,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
R,R15,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
R,R16,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
R,R17,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
R,R18,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
R,R19,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
R,R2,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
R,R20,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
R,R21,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
R,R22,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
R,R23,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
R,R24,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
R,R25,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
R,R26,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
R,R27,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
R,R28,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
R,R29,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
R,R3,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
R,R30,0R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,SPI-series (UART->DNP),DNP
R,R31,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,I2C pull-up (no-OLED->DNP),DNP
R,R32,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,I2C pull-up (no-OLED->DNP),DNP
R,R4,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
R,R5,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
R,R6,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
R,R7,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
R,R8,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
R,R9,1.5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4310,sensor LPF,populated
R,REF**,M2.5,MountingHole_2.7mm_M2.5_DIN965_Pad,,mounting hole,skip
R,RP2040-Zero,RP2040-Zero,RP2040-Zero Through Hole foot print (Correct version),,MCU module TH,manual
R,U1,ADG732BSUZ,SU_48_ADI-M,C579103,mux,populated
R,UG1,SK6812MINI-E,NONFlippedUnderGlowLED,,LED (no-LED->DNP),DNP
R,UG10,SK6812MINI-E,NONFlippedUnderGlowLED,,LED (no-LED->DNP),DNP
R,UG2,SK6812MINI-E,NONFlippedUnderGlowLED,,LED (no-LED->DNP),DNP
R,UG3,SK6812MINI-E,NONFlippedUnderGlowLED,,LED (no-LED->DNP),DNP
R,UG4,SK6812MINI-E,NONFlippedUnderGlowLED,,LED (no-LED->DNP),DNP
R,UG5,SK6812MINI-E,NONFlippedUnderGlowLED,,LED (no-LED->DNP),DNP
R,UG6,SK6812MINI-E,NONFlippedUnderGlowLED,,LED (no-LED->DNP),DNP
R,UG7,SK6812MINI-E,NONFlippedUnderGlowLED,,LED (no-LED->DNP),DNP
R,UG8,SK6812MINI-E,NONFlippedUnderGlowLED,,LED (no-LED->DNP),DNP
R,UG9,SK6812MINI-E,NONFlippedUnderGlowLED,,LED (no-LED->DNP),DNP
