side,ref,value,footprint,lcsc,role,pop
L,UG5,SK6812MINI-E,NONFlippedUnderGlowLED,,LED (no-LED->DNP),DNP
L,UG6,SK6812MINI-E,NONFlippedUnderGlowLED,,LED (no-LED->DNP),DNP
L,UG7,SK6812MINI-E,NONFlippedUnderGlowLED,,LED (no-LED->DNP),DNP
L,UG8,SK6812MINI-E,NONFlippedUnderGlowLED,,LED (no-LED->DNP),DNP
L,UG9,SK6812MINI-E,NONFlippedUnderGlowLED,,LED (no-LED->DNP),DNP
R,C1,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
R,C101,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
R,C102,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
R,C11,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
R,C111,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
R,C112,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
R,C12,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
R,C121,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
R,C122,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
R,C131,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
R,C132,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
R,C141,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
R,C142,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
R,C151,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
R,C152,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
R,C161,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
R,C162,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
R,C171,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,sensor LPF cap,populated
R,C172,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1711,decoupling,populated
